id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
47,2026-03-01T03:42:27.953827,LuoLuo,30,男,硕士,问刘十九,/home/ubuntu/workspace/image_voting_system/all_images/问刘十九_nano.jpg,nano,B,16500,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",21565,38065
48,2026-03-01T03:43:56.522432,LuoLuo,30,男,硕士,梦游天姥吟留别,/home/ubuntu/workspace/image_voting_system/all_images/梦游天姥吟留别_mj.jpg,mj,A,20042,"{""q1-2"": ""c"", ""q1-1"": ""A"", ""q2-1"": ""b"", ""q2-2"": ""c"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""e"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""c"", ""q2-10"": ""d""}",68527,88569
49,2026-03-01T03:45:43.104824,LuoLuo,30,男,硕士,韦讽录事宅观曹将军画马图,/home/ubuntu/workspace/image_voting_system/all_images/韦讽录事宅观曹将军画马图_seedream.jpg,seedream,B,61332,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""a"", ""q2-8"": ""c"", ""q2-9"": ""b"", ""q2-10"": ""d""}",45250,106582
50,2026-03-01T03:46:26.255425,LuoLuo,30,男,硕士,塞下曲·饮马渡秋水,/home/ubuntu/workspace/image_voting_system/all_images/塞下曲·饮马渡秋水_nano.jpg,nano,C,12991,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""b"", ""q2-2"": ""b"", ""q2-3"": ""c"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",30160,43151
51,2026-03-01T03:47:13.575231,LuoLuo,30,男,硕士,八阵图,/home/ubuntu/workspace/image_voting_system/all_images/八阵图_gpt.jpg,gpt,C,8257,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""b"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",39062,47319
52,2026-03-01T03:48:18.213617,LuoLuo,30,男,硕士,阙题,/home/ubuntu/workspace/image_voting_system/all_images/阙题_mj.jpg,mj,D,22348,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""c"", ""q2-2"": ""c"", ""q2-3"": ""c"", ""q2-4"": ""c"", ""q2-5"": ""b"", ""q2-6"": ""c"", ""q2-7"": ""b"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""e""}",42291,64639
53,2026-03-01T03:49:12.938779,LuoLuo,30,男,硕士,清平调·其一,/home/ubuntu/workspace/image_voting_system/all_images/清平调·其一_nano.jpg,nano,B,27392,"{""q1-2"": ""b"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""c""}",27333,54725
54,2026-03-01T03:50:13.177236,LuoLuo,30,男,硕士,无题·相见时难别亦难,/home/ubuntu/workspace/image_voting_system/all_images/无题·相见时难别亦难_seedream.jpg,seedream,B,25586,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""e"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",34652,60238
55,2026-03-01T03:51:19.090802,LuoLuo,30,男,硕士,秋登兰山寄张五,/home/ubuntu/workspace/image_voting_system/all_images/秋登兰山寄张五_seedream.jpg,seedream,C,32789,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""c"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",33125,65914
56,2026-03-01T03:52:20.206867,LuoLuo,30,男,硕士,八月十五夜赠张功曹,/home/ubuntu/workspace/image_voting_system/all_images/八月十五夜赠张功曹_mj.jpg,mj,D,35985,"{""q1-2"": ""d"", ""q1-1"": ""D"", ""q2-1"": ""b"", ""q2-2"": ""b"", ""q2-3"": ""c"", ""q2-4"": ""c"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",25131,61116
57,2026-03-01T03:53:16.515000,LuoLuo,30,男,硕士,山石,/home/ubuntu/workspace/image_voting_system/all_images/山石_nano.jpg,nano,D,32730,"{""q1-2"": ""c"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",23578,56308
58,2026-03-01T03:54:27.501016,LuoLuo,30,男,硕士,长恨歌,/home/ubuntu/workspace/image_voting_system/all_images/长恨歌_mj.jpg,mj,C,28074,"{""q1-2"": ""c"", ""q1-1"": ""C"", ""q2-1"": ""b"", ""q2-2"": ""c"", ""q2-3"": ""a"", ""q2-4"": ""c"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",42912,70986
